# U	$O_{\mathrm{CDW}}$
# N=120
# range=U_0_2
0	-0.002317765708
0.01	-0.002359492872
0.02	-0.002401449007
0.03	-0.002443649452
0.04	-0.002486096796
0.05	-0.002528769631
0.055	-0.002550173545
0.06	-0.002571606564
0.065	-0.002593051041
0.07	-0.002614483524
0.072	-0.002623046585
0.074	-0.002631600614
0.076	-0.002640143057
0.078	-0.002648671099
0.08	-0.002657181648
0.085	-0.002678358476
0.09	-0.002699341741
0.095	-0.002720054112
0.1	-0.002740400194
0.11	-0.002779499032
0.12	-0.002815344248
0.13	-0.002845525943
0.14	-0.002865588408
0.15	-0.002868791238
0.16	-0.002848395933
0.17	-0.002807463826
0.18	-0.002740035292
0.19	-0.002649222519
0.2	-0.002542171437
0.22	-0.002310863542
0.24	-0.002089504185
0.26	-0.001892356078
0.28	-0.001722250804
0.3	-0.001580069848
0.32	-0.0014659739
0.34	-0.001378532342
0.36	-0.001314402404
0.38	-0.000728871047
0.4	-0.000544777007
0.42	-0.00038540905
0.44	-0.000246925937
0.46	-0.000126574474
0.48	-2.2296272e-05
0.5	6.7496383e-05
0.52	0.000144057638
0.54	0.000208396411
0.56	0.000261335608
0.58	-0.002624695241
0.6	-0.002484937979
0.62	-0.002340288852
0.64	0.000371042451
0.66	-0.002034796623
0.68	0.000370506736
0.7	0.000357394991
0.71	0.000347713219
0.72	-0.001531943346
0.73	0.000322193059
0.74	-0.001351802851
0.75	0.000288567958
0.76	0.000268748489
0.765	0.000258091762
0.77	-0.001069847604
0.772	0.000242338591
0.774	0.000237659385
0.776	0.000232901051
0.778	0.000228063653
0.78	0.00022314725
0.782	0.0002181519
0.784	0.000213077658
0.786	-0.000913854549
0.788	-0.000894088704
0.79	-0.000874264519
0.8	0.000169649799
0.81	-0.00067288452
0.82	0.000108304958
0.83	7.4700928e-05
0.84	3.9146874e-05
0.85	-0.000668754025
0.86	-3.7802034e-05
0.87	-0.000597600473
0.88	-0.000560806284
0.89	-0.000167806077
0.9	-0.00021502609
0.95	-0.000480268204
1	-0.000102385516
1.1	-0.001568292425
1.2	-0.002539848302
1.3	-0.003715983957
1.4	-0.005113895759
1.5	-0.006765988986
1.6	0.002409276871
1.7	-0.011067963976
1.8	-0.013907495636
1.9	0.003806754424
2	0.004276198002
